cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00580100,"P80001571","Trump, Donald J.","COLONIAL TRAILWAYS",5120,21-AUG-15,"MOBILE","AL","36606","TRAVEL: GROUND TRANSPORTATION","","","SB23","1029398","SB23.6974","P2016",
C00580100,"P80001571","Trump, Donald J.","DORSETT PRODUCTIONS UNLIMITED, LLC",31725,31-AUG-15,"MOBILE","AL","36685","EVENT STAGING EXPENSE","","","SB23","1029398","SB23.6989","P2016",
C00580100,"P80001571","Trump, Donald J.","MOBILE CIVIC CENTER",10601.33,18-AUG-15,"MOBILE","AL","36602","FACILITY RENTAL","","","SB23","1029398","SB23.7064","P2016",
C00580100,"P80001571","Trump, Donald J.","RENAISSANCE MOBILE RIVERVIEW PLAZA",509.58,31-AUG-15,"MOBILE","AL","36602","TRAVEL: LODGING [KAREM: SB23.6742]","X","","SB23","1029398","SB23.8664","P2016",
C00580100,"P80001571","Trump, Donald J.","HAMPTON INN & SUITES",161.37,18-SEP-15,"MOBILE","AL","36602","TRAVEL: LODGING [MCENTEE: SB23.6734]","X","","SB23","1029398","SB23.8107","P2016",
C00580100,"P80001571","Trump, Donald J.","HAMPTON INN & SUITES",494.31,03-SEP-15,"MOBILE","AL","36602","TRAVEL: LODGING [CHMIELEWSKI: SB23.6753]","X","","SB23","1029398","SB23.8108","P2016",
C00580100,"P80001571","Trump, Donald J.","HAMPTON INN",339.72,01-SEP-15,"MOBILE","AL","36602","TRAVEL: LODGING [TELION: SB23.7327]","X","","SB23","1029398","SB23.8092","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",80.32,05-AUG-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [GEORGEVITS: SB23.6617]","X","","SB23","1029398","SB23.9196","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",36.86,28-JUL-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [GEORGEVITS: SB23.6616]","X","","SB23","1029398","SB23.9193","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",42.03,14-AUG-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [NAGEL: SB23.6630]","X","","SB23","1029398","SB23.9202","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",12.35,27-AUG-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [HUPKE: SB23.6640]","X","","SB23","1029398","SB23.9203","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",201.4,03-SEP-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [EPLEY: SB23.6707]","X","","SB23","1029398","SB23.9205","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",57.75,03-SEP-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [EPLEY: SB23.6707]","X","","SB23","1029398","SB23.9206","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",31.13,22-SEP-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [GEORGEVITS: SB23.6618]","X","","SB23","1029398","SB23.9197","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",210,22-SEP-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [GEORGEVITS: SB23.6618]","X","","SB23","1029398","SB23.9198","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",22.53,22-SEP-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [GEORGEVITS: SB23.6618]","X","","SB23","1029398","SB23.9199","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",18.96,22-SEP-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [GEORGEVITS: SB23.6618]","X","","SB23","1029398","SB23.9200","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",198.42,22-SEP-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [GEORGEVITS: SB23.6618]","X","","SB23","1029398","SB23.9201","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",72.16,29-JUL-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [LAUDNER: SB23.6644]","X","","SB23","1029398","SB23.9204","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",56,28-JUL-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [GEORGEVITS: SB23.6616]","X","","SB23","1029398","SB23.9195","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",56.08,28-JUL-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [GEORGEVITS: SB23.6616]","X","","SB23","1029398","SB23.9194","P2016",
C00580100,"P80001571","Trump, Donald J.","WALMART",15.8,05-AUG-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES [KELLER: SB23.6805]","X","","SB23","1029398","SB23.9207","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",438.1,31-JUL-15,"TEMPE","AZ","85281","TRAVEL: AIR [AMEX: SB23.6877]","X","","SB23","1029398","SB23.9093","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",47,31-JUL-15,"TEMPE","AZ","85281","TRAVEL: AIR [AMEX: SB23.6877]","X","","SB23","1029398","SB23.9094","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",440.1,31-JUL-15,"TEMPE","AZ","85281","TRAVEL: AIR [AMEX: SB23.6877]","X","","SB23","1029398","SB23.9095","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",241.1,31-JUL-15,"TEMPE","AZ","85281","TRAVEL: AIR [AMEX: SB23.6877]","X","","SB23","1029398","SB23.9096","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",25,19-AUG-15,"TEMPE","AZ","85281","TRAVEL: AIR [GRISHAM: SB23.6816]","X","","SB23","1029398","SB23.9130","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",25,25-AUG-15,"TEMPE","AZ","85281","TRAVEL: TRANSACTION FEE [UHER: SB23.6674","X","","SB23","1029398","SB23.9119","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",55,02-SEP-15,"TEMPE","AZ","85281","TRAVEL: AIR [AMEX: SB23.6878]","X","","SB23","1029398","SB23.9097","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",435.1,02-SEP-15,"TEMPE","AZ","85281","TRAVEL: AIR [AMEX: SB23.6878]","X","","SB23","1029398","SB23.9098","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",15,02-SEP-15,"TEMPE","AZ","85281","TRAVEL: BAGGAGE [AMEX: SB23.6878]","X","","SB23","1029398","SB23.9099","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",22,02-SEP-15,"TEMPE","AZ","85281","TRAVEL: BAGGAGE [AMEX: SB23.6878]","X","","SB23","1029398","SB23.9100","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",22,02-SEP-15,"TEMPE","AZ","85281","TRAVEL: BAGGAGE [AMEX: SB23.6878]","X","","SB23","1029398","SB23.9101","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",22,02-SEP-15,"TEMPE","AZ","85281","TRAVEL: BAGGAGE [AMEX: SB23.6878]","X","","SB23","1029398","SB23.9102","P2016",
C00580100,"P80001571","Trump, Donald J.","US AIRWAYS",22,02-SEP-15,"TEMPE","AZ","85281","TRAVEL: BAGGAGE [AMEX: SB23.6878]","X","","SB23","1029398","SB23.9103","P2016",
